0.12	0.46
0.13	0.39
0.15	0.39
0.15	0.30
0.18	0.31
0.18	0.25
0.22	0.26
0.21	0.16
0.25	0.16
0.24	0.06

0.13	0.46
0.14	0.43
0.18	0.43
0.19	0.37
0.22	0.32
0.25	0.32
0.25	0.25
0.29	0.23
0.28	0.17
0.30	0.12
0.30	0.05

0.03	0.16
0.03	0.96
0.92	0.97
0.92	0.11
0.32	0.11

0.22	0.11
0.03	0.11
0.03	0.16

0.03	0.16
0.07	0.24
0.09	0.35
0.10	0.46
0.10	0.61
0.08	0.75
0.05	0.83
0.03	0.86

0.02	0.33
0.01	0.33
0.01	0.05
0.20	0.04

0.33	0.04
0.97	0.04
0.97	0.36

0.93	0.36
1.00	0.36

0.95	0.39
0.99	0.39

0.79	0.31
0.79	0.68

0.79	0.52
0.97	0.53
0.97	0.39


